Abdominoplasty,[]
Anesthesiology,"['Epidural Injection', 'Anesthesia']"
Asthma,[]
Asthma Speciality,[]
Audiology,"['Speech Audiometry', 'Hearing Impairment', 'Vestibular Evoked Myogenic Potentials (VEMP)', 'BTE and RIC Hearing Aids', 'Pure Tone Audiometry', 'BERA Test', 'Hearing Deficiency Assessment', 'Hearing Aid Fitting', 'Audiogram Audiometry Impedance', 'Hearing Screening', 'Impedence/Tympanometry']"
Autonomic Neurology,[]
Ayurveda,"['', 'HAIR CARE SERVICES', 'Online Counselling', 'Piles Treatment', 'TREATMENT FOR DEPRESSION', 'Sex counselling', 'Pain in Left part of Chest', 'pre marital counseling', 'Obsessive Compulsive Disorder (OCD) Counselling', 'Fissure', 'Disk slip', 'Career Counselling', 'TREATMENT FOR DIABETES TYPE - II & I', 'Alcohol Addiction', 'Treatment Of Erectile Dysfunction', 'Thyroidectomy', 'Paralysis', 'TREATMENT FOR SINUSITIS', 'Hair Loss Treatment', 'Abhyangam', 'Stress', 'Knee Pain', 'Slimming', 'Male Sexual Problems', 'Anxiety Disorder Counselling', 'Cysts', 'Pizhichil', 'Meditation', 'Takradhara', 'Urine Infection', 'Sexual Weakness', 'Skin Care', 'TREATMENT FOR BACK ACHE', 'TREATMENT FOR JOINT PAIN (R/A)', 'Shirodhara', 'Constipation Treatment', 'Fistula Treatment', 'Couple counseling', 'TREATMENT FOR SLIPPED DISC', 'Acne', 'Ayurvedic Massage', 'Emotional Outbursts', 'Njavarakizhi', 'Sirodhara', 'Kativasthi', 'Fistula Surgery', 'Fibromyalgia Treatment', 'Hair Loss', 'Heart Conditions', 'Joint Mobilization', 'Eyes Diseases', 'Panchakarma', 'TREATMENT FOR MIGRAINE', 'Weight Loss Diet Counseling', 'Sneezing', 'Cold Cough', 'TREATMENT FOR ARTHRITIS', 'Female Infertility', 'Skin Infections', 'Asthama/COPD', 'Ankylosing Spondylitis Treatment', 'TREATMENT FOR CERVICAL SPONDILITIS', 'Anger Management', 'Gastritis', 'Colds', 'Back Pain Treatment', 'Shoulder Pain', 'Male Sexual Dysfunction Treatment', 'Skin diseases/ Psoriasis', 'Lung Infections Treatment', 'Sexual Disorders', 'Kizhi', 'PCOD', 'TREATMENT FOR SPINE PROBLEM', 'Coughing', 'Ulcerative Colitis', 'Sinusitis', 'Skin Disease Treatment', 'Acne / Pimples Treatment', 'KERALA AYURVEDA TREATMENTS', 'Hair Disease', 'behavioral problems', 'Raja Yoga', 'Sex Problems', 'Janubasti', 'Thyroid Disorders', 'TREATMENT FOR UTI (URINARY TRACT INFECTION)', 'Detoxification', 'Sexual Therapy', 'Gastritis Treatment', 'Systemic Lupus Erythematosus (SLE) Treatment', 'Piles', 'Urticarial Rash', 'Kshar Sutra', 'Stress management specialist', 'Leg Pain', 'Cold And Cough', 'PCOD/PCOS Treatment', 'Digestive Disorders', 'Obsessive Compulsive Disorder (OCD) Treatment', 'Body Weakness', 'Skin Hydration', 'GERD', 'skin hair and nail analysis', 'Interpersonal Relationship Issues', 'Pilonidal Sinus', 'Thyroid Diet Counseling', 'Knee Pain Treatment', 'Anxiety And Depression', 'Nail Surgery', 'Corn Removal', 'Professional Development', 'Sex therapy', 'Sexual anxiety', 'Constipation', 'Guidance Lifestyle', 'Death and bereavement issues', 'Youth Counselling', 'Psychological Problems', 'Acidity', 'Ayurvedic Treatment', 'TREATMENT FOR IBS(STOMACH DISORDERS)', 'Type 2 Diabetes Treatment', 'Gastric Trouble', 'Bronchitis', 'Arthritis Management', 'Weight Loss Treatment', 'Family Planning', 'Obesity Treatment', 'Anal Fissure Treatment (Non-Surgical)', 'Psoriasis Treatment', 'Infertility', 'Digestion Problem', 'Lower Back Pain', 'Sleep Disorder Treatment', 'Ksharsutra', 'Cervical Spondylosis', 'Knee care', 'Low Sperm Count', 'TREATMENT FOR HIGH BLOOD PRESSURE (HIGH B.P)', 'TREATMENT FOR OSTEOARTHRITIS', 'Geriatric Healthcare', 'Rheumatoid Arthritis Treatment', 'Dandruff Treatment', 'Family Counseling', 'Pigmented Skin', 'Patient Counselling', 'Headache', 'Married couple guidance', 'Eczema', 'Spondylitis', 'Anal Fissure Surgery', 'Erection Problems', 'Hair Fringes', 'Counselling for Depression & Anxiety', 'Jiva Yoga', 'Diabetes', 'TREATMENT FOR MALE INFERTILITY', 'Phobia', 'Epilepsy', 'Back Pain', 'Ayurvedic Clinics', 'Masturbation Addiction', 'Sirovasthi', 'Fertility Treatment', 'Female Sexual Problems', 'TREATMENT FOR CALCANEAL SPUR', 'Gastric Disorders', 'Male Problems', 'Premature Ejaculation', 'Running Nose', 'Breathing Problems', 'Counselling And Stress Management', 'AYURVEDIC TREATMENTS FOR ALL AILMENTS AND WELLNESS PROGRAMS', 'virechana karma', 'Snehapanam', 'TREATMENT FOR KNEE JOINT PAIN (NON SURGICAL)', 'Low Sperm Count/ Erectile Dysfunction/ Early Discharge', 'Skin Treatment', 'Personality Assessment', 'Scar Treatment', 'TREATMENT FOR PCOD/PCOS', 'Weight Management', 'Psoriasis', 'TREATMENT FOR PSORIASIS & ECZEMA', 'Nasyam', 'Sciatica Pain Treatment', 'Skin Rash Treatment', 'Stomach Pain', 'Loss of Libido', 'TREATMENT FOR PAIN & ACHES', 'Urinary Tract Infection (UTI)', 'Bronchial Asthma Treatment', ' STRESS & STRAIN', 'Piles Treatment (Non Surgical)', 'Yoga Therapy', 'Kidney stones (Urinary Calculus)', 'Family Problems', 'Udwarthanam', 'Urinary Incontinence (Ui) Treatment', 'Podikizhi', 'Personal development', 'Joint Pain', 'Weight Loss', 'Neck Pain Treatment', 'Mukha Lepanam', 'Piles Surgery', 'General Medical Consultation', 'Orthopedic physical therapy', 'Vasthi', 'Ayurvedic Surgery', 'Marriage/ Marital Counselling', 'Gastroscopy']"
Bariatric Surgery,"['Gastritis', 'Hernia Repair Surgery', 'Stomach Ulcer', 'Weight Loss surgical', 'Gastrointestinal Endoscopic Mucosal Resection', 'Gall Bladder (Biliary) Stone Treatment', 'Fissure', 'Hernia Surgery', 'Irritable Bowel Syndrome ( IBS ) Treatment', 'Abdominal Pain', 'Consultation for vomiting', ' constipation', 'Ulcer', 'Appendicitis', 'Skin Flap', 'Abdominal surgery', 'Pilonidal Sinus Surgery', 'Acidity', 'Stoma Care', 'Laparoscopy', 'Anal fissure', 'Traction', 'Laparoscopic Cholecystectomy', 'Gall Bladder Surgery', 'Laparoscopic Hernial Repair', 'Gallbladder Surgery', 'Gallbladder Stones', 'Laproscopic Appendicectomy', 'Stomach Pain', 'Intestine Surgery', 'Rectal Prolapse Surgery', 'Constipation Treatment', 'Fistula Treatment', ' pain in abdomen', 'Hemorrhoids', 'Cholecystectomy', 'Endoscopic Surgery', 'Gastritis Treatment', 'Diabetic Foot Treatment/Surgery', 'Piles Treatment (Non Surgical)', 'Abdominal Pain Treatment', 'Cyst', 'Colorectal Surgery', 'Minimally Invasive Surgery', 'Fistulectomy', 'Gastric Bypass Surgery', 'Acid Reflux', 'Thyroid Surgery', 'Anal Fissure Surgery', 'Blood in Stools', 'Laser Piles Treatment', 'Appendicitis Treatment', 'Small surgical procedures', ' diarrhea', 'Laparoscopic Appendicectomy', 'GERD', 'Piles Surgery', 'Chronic Liver Disease', 'Circumcision', 'Gastroenteritis', 'Gastroscopy']"
Behavioral Neuorology,[]
Best Gastroenterology,"['Gastritis', 'Hepatitis B Treatment', 'Piles Treatment', 'heart burn', 'Gall Bladder (Biliary) Stone Treatment', 'Ulcer', 'Irritable Bowel Syndrome ( IBS ) Treatment', 'Abdominal Pain', 'Consultation for vomiting', ' constipation', 'Appendicitis', 'Hemorrhoids Treatment', 'Burning Sensation in Stomach', 'Acidity', 'Liver Disease', 'Colitis Treatment', 'Hepatitis B', ""Crohn's Disease"", 'Ulcerative Colitis', 'Laparoscopy', 'Acute Kidney Disease ( AKI ) Treatment', 'Colonic Diverticular Disease', 'Carotid Angioplasty And Stenting', 'Gall Bladder Surgery', 'Gastric Trouble', 'Jaundice', 'Bitter Taste in the Mouth', 'Vomit blood', 'Gastroesophageal reflux', 'Anal Fissure Treatment (Non-Surgical)', 'Liver Cirrhosis', 'Pancreas Stone Treatment', 'Laparoscopic Surgery', 'Stomach Pain', 'Nonalcoholic Fatty Liver Disease', 'Esophageal Dilation', 'Steatosis', 'Constipation Treatment', 'Fistula Treatment', 'Colonoscopy', ' pain in abdomen', 'Stomach Infection', 'Cirrhosis', 'Hemorrhoids', 'Acute Pancreatitis', 'Acute Pancreatitis Treatment', 'Acid Peptic Disorders', 'Gastritis Treatment', 'Gastro Ailment', 'Fatty Liver', 'Piles Treatment (Non Surgical)', 'Abdominal Pain Treatment', 'Upper Gastro-intestinal endoscopy', 'Liver Disease Treatment', 'Gastroentrology', 'Blood in Stools', 'Digestive Disorders', 'Chest & Abodmen & Upper Extremity', 'Whipple Procedure', 'Chronic Pancreatitis', 'Coronary Angiography', ' diarrhea', 'GERD', 'Celiac Disease', 'Peptic Ulcers', 'Chronic Liver Disease', 'Nasal Endoscopy', 'Hepatitis C Treatment', 'Gallbladder Issues', 'Gastroenteritis', 'Irritable Bowel Syndrome', 'Ulcerative Colitis Treatment', 'Stomach Disorder', 'Gastroscopy']"
Blepharoplasty,[]
Botox,[]
Breast Lift Augumentation Reduction,[]
Ct Mri Cardiology,[]
Cancer,[]
Cardiac Electrophysiology,[]
Cardiology,"['Acute Myocardial Infarction', 'Hypertension', 'Pain in Left part of Chest', 'Echo (pediatric & adult)', 'Treadmill Test - TMT', 'Heart Care', 'Giddiness', 'Hypertension Treatment', 'Cardiologia Clínica', 'Chest Pain', 'Cardiac Valve Repair', 'Peripheral Angioplasty', 'Pacemaker Implantation', 'Heart Attack', 'Echocardiography', 'Aortic Valve Disease', 'Low Blood Pressure', 'Atrial Fibrillation', 'Cardiovascular Emergencies', 'Chest Pain During Exercise', 'Carotid Angioplasty And Stenting', 'Coronary Artery Disease', 'Dilated Cardiomyopathy', 'Irregular Heartbeat', 'Cardiovascular Conditions', 'Cardiac checkup - General', 'Cardioversion', 'Cardiac Catheterisation', 'Reconstructive Middle Ear Surgery', 'Hypertrophic Cardiomyopathy', '2D - Echocardiography (2D-Echo)', 'Blalock–Thomas–Taussig Shunt', 'Cardiac Invasive Procedures', 'Angiogram', 'Non-Invasive Cardiology', 'Holter Monitoring', 'Hole in the Heart', 'Cardiac Diseases', 'Electrocardiography (ECG)', 'Blocked Blood Vessels', 'Stress Echocardiography', 'Coronary Angioplasty / Bypass Surgery', 'Cardiac Ablation', 'Cardiography', 'Heart Conditions', 'Angioplasty and Stenting', 'Coronary Angiography', 'Mitral/Heart Valve Replacement', 'Open Heart Surgery', 'Cardiac Rehabilitation', 'Angina', 'Angiopathy', 'Cardiac Procedure', 'ASD / VSD Device Closure', 'Coronary Angiogram', 'Cardiovascular Disease Prevention', 'Preventive Health Check Ups', 'BP Monitoring']"
Cardiothoracic Surgery,"['Maze Procedure', 'Screening for Coronary Artery Disease', 'Mitral Valve Replacement (MVR) Surgery', 'Heart Conditions', 'Coronary Artery Bypass Surgery(CABG)', 'Aortic Valve Replacement', 'Open Heart Surgery', 'Bypass Surgery', 'Cardiac and Thoracic Surgery', 'Congenital Birth Defects in the Heart Correction', 'ASD Surgery', 'Endovascular Embolization', 'Surgery for Thoracic Aortic Aneurysm', 'Vascular Surgery', 'Cardiac Valve Repair', 'Bentall Procedure', 'Minimally Invasive Cardiovascular Surgery(MICS)', 'Angioplasty']"
Cardiovascular And Pulmonary Physiotherapy,[]
Cheek Augumentation,[]
Chemical Peeling,[]
Chin Augumentation Mentoplasty,[]
Consultant Physician,"['TB', 'Diabetes Renal Failure', 'Colour Doppler', 'Thyroid Disorder Treatment', 'Swelling', 'Diabetologist - Cardiologist', 'Low Blood Pressure', 'Thyroidectomy', 'Iodine Deficiency Treatment', 'Dengue Fever Treatment', 'Well Woman Healthcheck', 'Sugar Level Check', 'Blood Pressure Changes', ' Thyroid swelling/goiter', 'Swelling Of Stomach', 'Physcian', 'Preventive Medicine', 'Type 1 Diabetes', 'Thyroid Treatment', 'Fever', 'Trouble Swallowing', 'Numbness and tingling', 'Cramping', 'Liver abscess', 'Fever Treatment', 'Colds', 'Complete Heart And Diabetes Treatment', 'Food Poison', 'Back Pain Treatment', 'Light Headedness', 'Pneumonia', 'Allergic Diseases Treatment', 'Chest Pain', 'Sinusitis', 'Stuffy Nose', 'Annual health checkup', 'Diabetes Treatment', 'Travel Vaccination and Consultation', 'managing acute medical conditions', 'Consultation', 'Dizziness', 'Diabetes Counselling', 'Wellness checkup', 'Typhoid Fever Treatment', 'hba1c', 'Gastric troubles', 'Low Platelets', 'Body Weakness', 'Obsessive Compulsive Disorder (OCD) Treatment', 'Food Poisoning', 'Typhoid fever', 'Problems with Smell', 'Constipation', 'Fasting blood sugar', 'Diarrhoea', 'Restless Leg Syndrome', 'Acute Diarrhea Treatment', 'Body Ache', 'Thyroid disorder - Hypothyroidism and Hyperthyroidism ', 'Dengue', 'Gestational Diabetes Management', 'Type 2 Diabetes Treatment', 'Outpatient treatment', 'Vaccination/ Immunization', 'Diabetes Management', 'Cold Sores', 'health checkup general', 'obesity management', 'Measles Treatment', 'Coughing Up Blood', 'Gastroenteritis Treatment', 'Chickenpox', 'Typhoid', 'Diabetes', 'Persistent Cough', 'Cholestrol Diseases', 'Infestation', 'Diabetes complications', 'Hyperlipidaemia', 'Stomach pain and stomach upset', 'Muscle Cramps', 'Bronchiolitis Treatment', 'Throat infection', 'Thyroid consultant', 'Jaundice', 'Ladies Problems', 'Stomach Pain', 'Swelling Of Legs', 'Fatigue', 'Type 1 Diabetes Treatment', 'Swollen Lymph Nodes', 'Loose Motion', 'Men and Women Wellness Screening', 'High cholesterol', 'Bronchiectasis Treatment', 'Practitioner', 'Respiratory tract infection']"
Consultant Physiotherapy,[]
Cosmetic Surgery,[]
Cosmetic Aesthetic Dental,"['Orthodontic Procedures', 'Rotten Tooth', 'Tooth Decay', 'Metal Braces Fixing', 'Teeth Sensitive to Hot and Cold', 'Orthognathic Surgery', 'Cast Partial Denture', 'Dental Treatment', 'Ceramic Facing Crown', 'Post and Core', 'Tooth Sensitivity', 'Root Canal Treatment (RCT)', 'BPS Dentures Fixing', 'Dentures ( Metal Based ) Dental Services/ Ful Dental (Acrylic) / Teeth Whitening', 'Dental Calculus', 'Cosmetic Recountouring of Teeth', 'Calculus', 'Composite tooth filling', 'Pulpectomy', 'Health Checkup (General)', 'Orthodontic Treatment', 'Smile Design', 'Missing Teeth', 'Wisdom Teeth', 'Teeth Decay', 'Oral Rehabilitation', 'Dentofacial Orthopedics', 'Artificial Teeth', 'Implant Rehabilitation', 'Complete/Partial Dentures Fixing', 'Tooth Loss', 'Rotten Teeth', 'Aesthetic Dentistry', 'Conservative Dentistry', 'Flap Surgery', 'Dental Cavity Filling', 'Removal of impacted/buried Tooth', 'Jaw Reshaping', 'Swollen Gums', 'Painful Teething', 'Broken Teeth', 'Invisible/Clear Braces', 'Bleeding Gums Treatment', 'Tooth Abscess', 'Widely Spaced Teeth', 'Teeth cleaning & polishing', 'Teeth Whitening', 'RCT - Single Sitting', 'Scalling', 'Cosmetic Veneers/Bonding', 'Receding Gums', 'Implant Prosthesis', 'RCT - Root Canal Treatment', 'Dental Fillings', 'Bone Grafting for Dental Implants', 'Cosmetic Filling', 'Smile Designing', 'Braces Adjustment', 'Oral Prophylaxis', 'Impacted Tooth', 'Scaling / Polishing', 'Mouth Guard', 'Dental Cleaning', 'Crowns and Bridges Fixing', 'Fractured Tooth', 'Dental Plaque', 'Malocclusion', 'Dental Surgery', 'Straightening Teeth (Invisalign)', 'Bad Breath (Halitosis) Treatment', 'Metallic Crown Fixing', 'Consultation', 'Yoga during pregnancy', 'Invisalign Orthodontics', 'Gingivitis', 'Delayed Tooth Formation', 'Toothache Remedies', 'Teeth Reshaping', 'Veneers / Laminates', 'Bleeding Gums', 'Microscope Assisted Root Canal Treatment', 'Gum Disease Treatment/ Surgery', 'Ceramic Braces Fixing', 'Tooth Erosion', 'Toothache', 'Inlays and Onlays', 'Veneers', 'Implants(Fixed Teeth)', 'Dental Fluorosis', 'Immediate Dentures', 'Invisible Orthodontics', ' Vestibuloplasty etc)', 'Tooth Filling', 'Removable Partial Denture Per Tooth', 'Paedodontics', 'Teeth Grinding', 'Sensitive Teeth', 'Cavities', 'Abnormally Shaped Teeth', 'Crowded Teeth', 'Teeth Ache', 'Cosmetic/ Aesthetic Dentistry', 'Teeth Straightening', 'Acrylic Partial Denture', 'Ceramic Crowns and Bridges Fixing', 'Dental X-Ray', 'TMJ Disorders', 'Apicoectomy', 'Fixed Partial Denture (FPD)', 'Mucogingival Surgery', ' Crowns and Bridges', 'Scraping Periodontal', 'Treatment for bleeding/ Swolen Gums', 'General Dentistry', 'Teeth - Jewellery', 'Tooth Coloured Fillings', 'Loose Teeth', 'Implant Retained Dentures', 'Dental Checkup (General)', 'Ceramic Veneers / Crowns', 'Restoration Aesthetics', 'Mouth Bleed', 'Dental Crowns', 'Dental Examinations', 'Flexible Partial/Complete Denture', 'Zirconia Crowns', 'Wisdom Tooth Extraction', 'Dental Bridges', 'Jaw ache', 'Dental screening and prophylaxis', 'Preposthetic surgery (Frenectomy', 'Implant Supported Denture Fixing', 'Impaction / Impacted Tooth Extraction', 'Jaw Orthopedics', 'Pediatric Dentistry', 'Denture Problems', 'Dental Implant', 'Paediatric Tooth Filling', 'Dental Restoration', 'Laminates', 'Tooth Extraction', 'Stained Teeth', 'Endo Surgery Or Apicoectomy', 'Tooth bleach', 'Laser Gum Surgery', 'Oral & Maxillofacial Surgery', 'Periodontal Flap Surgery', 'Bad Breath', 'Jaw Ache', 'Operculectomy', 'Implant / RCT', 're-root canal', 'Oral Surgery Procedures', 'Removal Partial Denture (RPD)', 'Abnormal Tooth Color', 'Gap Closing', 'Dental Implant Fixing', 'Misaligned Teeth', 'Dental Cavities', 'Periodontitis', 'Surgical Tooth Extraction']"
