Acupuncturist,[]
Pediatric Dentistry,"['Dental Surgery', 'Endo Surgery Or Apicoectomy', 'Gum Disease Treatment/ Surgery', 'Laser Gum Surgery', 'Mucogingival Surgery', 'Oral & Maxillofacial Surgery', 'Orthognathic Surgery', 'Periodontal Flap Surgery', 'Preposthetic Surgery (Frenectomy)', 'Surgical Tooth Extraction']"
Pediatric Physiotherapist,['Pediatric Pre-surgery Consultation']
Pediatrician,"['Dental Surgery', 'Gum Disease Treatment/ Surgery', 'Surgical Tooth Extraction']"
Periodontics,"['Dental Surgery', 'Endo Surgery Or Apicoectomy', 'Flap Surgery', 'Gum Disease Treatment/ Surgery', 'Gum Rejuvenation - Pinhole Surgical Technique', 'Laser Flap Surgery', 'Laser Gum Surgery', 'Mucogingival Surgery', 'Oral Surgery Procedures', 'Orthognathic Surgery', 'Periodontal Flap Surgery', 'Surgical Extractions Of Teeth', 'Surgical Tooth Extraction', 'Tooth Impaction Surgery']"
Physiatrist (Physical Medicine),['Failed Back Surgery Syndrome (FBSS)']
Physiotherapist,['Post Surgery Physiotherapy/Rehabilitation']
Plastic Surgeon,"['Abdominal Wall Surgery', 'Aesthetic Surgery Consultation', 'Aesthetic Surgery Follow Up', 'Breast Microsurgery', 'Breast Revision Surgery', 'Breast Surgery', 'Cosmetic Surgery Consultation', 'Craniofacial Surgery Consultation', 'Ear Surgery / Otoplasty', 'Eyelid Surgery / Blepharoplasty', 'Face Reconstructive Surgery Consultation', 'Face Surgery Consultation', 'Face Surgery Follow Up', 'Facial Cosmetic Surgery Consultation', 'Hair Replacement Surgery', 'Hand Surgery Consultation', 'Hand Surgery Follow Up', 'Head Surgery Consultation', 'Head Surgery Follow Up', 'Mommy Makeover Surgery', 'Neck Surgery Consultation', 'Neck Surgery Follow Up', 'Nose Surgery', 'Pediatric Plastic Surgery Consultation', 'Plastic Surgery', 'Plastic Surgery Consultation', 'Plastic Surgery Follow Up', 'Reconstructive Surgery Consultation', 'Reconstructive Surgery Follow Up', 'Skin Cancer Surgery Or Correction']"
Podiatrist (Foot and Ankle Specialist),"['Ankle Surgery', 'Brachymetatarsia / Toe Lengthening Surgery', 'Foot Surgery', 'Limb Salvage Surgery', 'Podiatric Surgery', 'Toe Shortening Surgery']"
Prosthodontist,"['Dental Surgery', 'Dental Surgery', 'Endo Surgery Or Apicoectomy', 'Gum Surgery', 'Laser Gum Surgery', 'Laser Surgery', 'Mohs Surgery', 'Mucogingival Surgery', 'Oral & Maxillofacial Surgery', 'Oral & Maxillofacial Surgery', 'Surgical Tooth Extraction', 'Tooth Impaction Surgery']"
Psychiatrist,[]
Psychologist,[]
Psychotherapist ,[]
Pulmonologist (Lung Doctor),"['Mediastinal Adenopathy Surgery', 'Pre-Surgery Checkup / Pre-Surgical Clearance']"
Radiation Oncologist,['Cancer Surgery']
Radiologist,"['Ankle Surgery', 'Foot Surgery', 'Mohs Surgery', 'Podiatric Surgery']"
Rheumatologist,['Pre-Surgery Checkup / Pre-Surgical Clearance']
Sexologist,['Piles Treatment (Non Surgical)']
Siddha,[]
Sleep Medicine Specialist,['Pre-Surgery Checkup / Pre-Surgical Clearance']
Speech,[]
Spine Surgeon,"['Epilepsy Surgery', 'Neuro-oncological Surgery', 'Peripheral Neuro Surgery', 'Spinal Deformity Correction Surgery', 'Spinal Surgery', 'Spine Surgery']"
Sports And Musculoskeletal Physiotherapist,['Post Surgery Physiotherapy/Rehabilitation']
Sports Medicine Specialist,"['Flap Surgery', 'Laser Flap Surgery', 'Orthognathic Surgery']"
Sports Nutritionist,[]
Surgeon,"['Abdominal Surgery', 'Breast Surgery', 'Hip And Knee Surgery Consultation', 'Laparoscopic Surgery Consultation', 'Laparoscopic Surgery Follow Up', 'Robotic Surgery', 'Shoulder Surgery', 'Surgery Consultation', 'Surgery Follow Up', 'Surgery Second Opinion', 'Vascular Surgery']"
Therapist / Counselor,[]
Travel Medicine Specialist,['Pre-surgery Checkup / Pre-surgical Clearance']
Trichologist,"['Dermatologic Surgery Small', 'Hair Transplant Surgery', 'Laser Surgery', 'Nail Surgery']"
Ultrasonologist,[]
Unani,[]
Urgent Care Specialist,[]
Urological Surgeon,"['Robotic Surgery', 'Urological Surgery Consultation']"
Urologist,['Prostate Laser Surgery']
Vascular Surgeon,"['Aortic Anuerysm Surgery / Endovascular Repair', 'Breast Cancer Surgery', 'Breast Surgery', 'Bypass Surgery Consultation - CABG', 'Cardiac And Thoracic Surgery', 'Carotid Surgery', 'Coronary Artery Bypass Surgery(CABG)', 'Dermatology Surgery', 'Minimally Invasive Surgery', 'Open Heart Surgery', 'Surgery Consultation', 'Surgery Follow Up', 'Surgery Second Opinion', 'Thoracic Surgery', 'Vascular Surgery', 'Vascular Surgery Consultation', 'Vascular Surgery Follow Up']"
Venereologist,"['Dermatologic Surgery Small', 'Hair Transplant Surgery', 'Laser Surgery', 'Mohs Surgery', 'Nail Surgery']"
Vet,['Surgical Procedures']
Women's Health Nurse Practitioner,[]
Wound Care Specialist,[]
